Numbers,NAME,pl_orbper,pl_semi_min,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radius_au,pl_radj,pl_dens,st_dist,st_optmag,st_teff,st_mass,st_radius,st_sun_rad,size_star_planet,j_rad,sun_rad
85,Kepler-36 b,13.83989,0.115212281,0.1153,0.039,0.014,0.00006360,0.133,7.46,470,11.866,5911,1.07,0.007580263,1.63,119.2614622,0.000477895,0.004650468
199,CoRoT-7 b,0.85359159,0.017016,0.017016,0,0.018,0.00006740,0.141,7.5,153.7,11.668,5259,0.91,0.003813384,0.82,56.59250343,0.000477895,0.004650468
32,Kepler-21 b,2.78578,0.042708456,0.042717,0.02,0.01598,0.00006980,0.146,6.4,113,8.25,6305,1.41,0.008835889,1.9,126.6382532,0.000477895,0.004650468
132,Kepler-11 b,10.3039,0.090907816,0.091,0.045,0.006,0.00007690,0.161,1.72,613,14.2,5663,0.96,0.004929496,1.06,64.06844087,0.000477895,0.004650468
152,WASP-47 e,0.789636,0.017292213,0.0173,0.03,0.02863,0.00007740,0.162,8.5,200,11.9,5576,1.11,0.005394543,1.16,69.67983937,0.000477895,0.004650468
175,Kepler-20 b,3.6961219,0.042984334,0.04537,0.32,0.027,0.00008120,0.17,6.5,290,12.498,5455,0.91,0.00437144,0.94,53.80753519,0.000477895,0.004650468
111,BD+20 594 b,41.6855,0.241,0.241,0,0.05129,0.00009510,0.199,7.89,152.1,11.038,5766,0.96,0.004324935,0.93,45.47723358,0.000477895,0.004650468
208,HD 97658 b,9.4909,0.079441877,0.0796,0.063,0.02473,0.00009990,0.209,3.35,21.3,7.71,5119,0.75,0.003255328,0.7,32.59236836,0.000477895,0.004650468
165,Kepler-22 b,289.8623,0.849,0.849,0,0.113,0.00010131,0.212,14.7,190,11.664,5518,0.97,0.004557459,0.98,44.98361784,0.000477895,0.004650468
133,Kepler-11 f,46.6888,0.249978874,0.25,0.013,0.006,0.00010609,0.222,0.69,613,14.2,5663,0.96,0.004929496,1.06,46.46404946,0.000477895,0.004650468
209,HIP 116454 b,9.1205,0.088675835,0.0906,0.205,0.037,0.00010800,0.226,4.17,55.2,10.19,5089,0.78,0.003348337,0.72,31.00189374,0.000477895,0.004650468
176,Kepler-20 d,77.61184,0.27624,0.3453,0.6,0.063,0.00011708,0.245,4.07,290,12.498,5455,0.91,0.00437144,0.94,37.33584074,0.000477895,0.004650468
134,Kepler-11 c,13.0241,0.106963828,0.107,0.026,0.009,0.00012234,0.256,0.66,613,14.2,5663,0.96,0.004929496,1.06,40.29304289,0.000477895,0.004650468
177,Kepler-20 c,10.854092,0.085235908,0.093,0.4,0.051,0.00013094,0.274,2.91,290,12.498,5455,0.91,0.00437144,0.94,33.38423716,0.000477895,0.004650468
135,Kepler-11 d,22.6845,0.15499876,0.155,0.004,0.023,0.00013286,0.278,1.28,613,14.2,5663,0.96,0.004929496,1.06,37.10438482,0.000477895,0.004650468
136,Kepler-11 g,118.3807,0.460727674,0.466,0.15,0.079,0.00014194,0.297,4,613,14.2,5663,0.96,0.004929496,1.06,34.73070363,0.000477895,0.004650468
86,Kepler-36 c,16.23855,0.128230122,0.1283,0.033,0.025,0.00015675,0.328,0.89,470,11.866,5911,1.07,0.007580263,1.63,48.3590685,0.000477895,0.004650468
153,WASP-47 d,9.095,0.087998416,0.088,0.006,0.05286,0.00015818,0.331,1.8,200,11.9,5576,1.11,0.005394543,1.16,34.1031238,0.000477895,0.004650468
231,GJ 3470 b,3.3366487,0.03099552,0.031,0.017,0.043,0.00016535,0.346,1.18,25.2,12.33,3652,0.51,0.002232225,0.48,13.49986124,0.000477895,0.004650468
170,Kepler-30 b,29.33434,0.17984117,0.18,0.042,0.036,0.00016631,0.348,1.02,1400,15.403,5498,0.99,0.004417945,0.95,26.56492092,0.000477895,0.004650468
96,Kepler-4 b,3.21346,0.0456,0.0456,0,0.077,0.00017061,0.357,1.91,550,12.7,5857,1.22,0.006929197,1.49,40.61460356,0.000477895,0.004650468
137,Kepler-11 e,31.9996,0.194985959,0.195,0.012,0.025,0.00017873,0.374,0.58,613,14.2,5663,0.96,0.004929496,1.06,27.58026465,0.000477895,0.004650468
53,EPIC 211391664 b,10.13675,0.0943,0.0943,0,0.10131,0.00018351,0.384,2.15,435,12.166,6120,1.07,0.006092113,1.31,33.19741269,0.000477895,0.004650468
219,HAT-P-11 b,4.8878162,0.051950707,0.053,0.198,0.081,0.00020167,0.422,1.33,38,9.472,4780,0.81,0.003487851,0.75,17.29469783,0.000477895,0.004650468
83,CoRoT-22 b,9.75598,0.091726861,0.092,0.077,0.038,0.00020788,0.435,0.249,592,13.944,5939,1.1,0.005301533,1.14,25.50232409,0.000477895,0.004650468
154,Kepler-63 b,9.4341505,0.071442284,0.08,0.45,0.378,0.00026045,0.545,3,200,12.02,5576,0.98,0.004185421,0.9,16.06978896,0.000477895,0.004650468
211,HAT-P-26 b,4.234516,0.047530318,0.0479,0.124,0.059,0.00027001,0.565,0.4,134,11.744,5079,0.82,0.00367387,0.79,13.6063867,0.000477895,0.004650468
210,CoRoT-8 b,6.21229,0.063,0.063,0,0.22,0.00027240,0.57,1.6,380,14.8,5080,0.88,0.00358086,0.77,13.14558857,0.000477895,0.004650468
48,Kepler-117 b,18.7959228,0.14432429,0.1445,0.0493,0.094,0.00034361,0.719,0.3,1430,14.274,6150,1.13,0.007487253,1.61,21.79019676,0.000477895,0.004650468
146,Kepler-35 b,131.458,0.602937505,0.60347,0.042,0.127,0.00034791,0.728,0.41,1645,15.726,5606,0.89,0.004789982,1.03,13.76797319,0.000477895,0.004650468
100,Kepler-539 b,125.63243,0.45930245,0.4988,0.39,0.97,0.00035699,0.747,2.9,313,12.391,5820,1.05,0.004417945,0.95,12.37562581,0.000477895,0.004650468
225,Kepler-16 b,228.776,0.704783222,0.7048,0.0069,0.333,0.00036033,0.754,0.964,61,11.762,4450,0.69,0.003022804,0.65,8.388922397,0.000477895,0.004650468
84,Kepler-34 b,288.822,1.071402079,1.0896,0.182,0.22,0.00036511,0.764,0.613,1499,14.875,5913,1.05,0.005394543,1.16,14.77504447,0.000477895,0.004650468
222,WASP-59 b,7.919585,0.069350624,0.0697,0.1,0.863,0.00037037,0.775,2.4,125,13,4650,0.72,0.002836785,0.61,7.659356759,0.000477895,0.004650468
97,HATS-17 b,16.254611,0.130744987,0.1308,0.029,1.338,0.00037132,0.777,3.5,339,12.39,5846,1.13,0.00506901,1.09,13.65116278,0.000477895,0.004650468
171,Kepler-30 d,143.34394,0.499878985,0.5,0.022,0.073,0.00037515,0.785,0.19,1400,15.403,5498,0.99,0.004417945,0.95,11.77655093,0.000477895,0.004650468
194,WASP-139 b,5.924262,0.062,0.062,0,0.117,0.00038232,0.8,0.31,230,12.4,5310,0.92,0.003720374,0.8,9.731149981,0.000477895,0.004650468
195,Kepler-46 b,33.60134,0.19679016,0.1968,0.01,6,0.00038614,0.808,14,855,15.262,5309,0.9,0.00367387,0.79,9.514366937,0.000477895,0.004650468
109,Kepler-9 c,38.91,0.223090649,0.225,0.13,0.171,0.00039331,0.823,0.383,650,13.803,5777,1.07,0.004743477,1.02,12.0604775,0.000477895,0.004650468
191,HAT-P-38 b,4.640382,0.052182481,0.0523,0.067,0.267,0.00039426,0.825,0.59,249,12.557,5330,0.89,0.00427843,0.92,10.85170665,0.000477895,0.004650468
204,HAT-P-3 b,2.899736,0.03866,0.03866,0,0.591,0.00039522,0.827,1.29,138,11.577,5185,0.92,0.003720374,0.8,9.413446172,0.000477895,0.004650468
92,CoRoT-20 b,9.24285,0.074607778,0.0902,0.562,4.24,0.00040143,0.84,8.87,1230,14.66,5880,1.14,0.004743477,1.02,11.81639641,0.000477895,0.004650468
110,Kepler-9 b,19.24,0.13841604,0.14,0.15,0.252,0.00040239,0.842,0.524,650,13.803,5777,1.07,0.004743477,1.02,11.78832896,0.000477895,0.004650468
88,WASP-60 b,4.3050011,0.0531,0.0531,0,0.514,0.00041099,0.86,1.1,400,12.18,5900,1.08,0.005301533,1.14,12.89943137,0.000477895,0.004650468
224,HAT-P-20 b,2.875317,0.036095939,0.0361,0.015,7.246,0.00041434,0.867,13.78,70,11.339,4595,0.76,0.003208823,0.69,7.744513825,0.000477895,0.004650468
220,WASP-132 b,7.133521,0.067,0.067,0,0.41,0.00041577,0.87,0.84,120,12.4,4775,0.8,0.003441346,0.74,8.277070098,0.000477895,0.004650468
128,HATS-8 b,3.583893,0.04324534,0.04667,0.376,0.138,0.00041720,0.873,0.259,829,14.03,5679,1.06,0.00506901,1.09,12.15000398,0.000477895,0.004650468
79,CoRoT-13 b,4.03519,0.051,0.051,0,1.308,0.00042294,0.885,2.34,1060,15.039,5945,1.09,0.004696973,1.01,11.10560619,0.000477895,0.004650468
